0,The Blacklist,43
10,Emily in Paris,30
14,Dicte,60
24,How to Get Away With Murder,43
56,Luther,60
57,Messiah,43
58,Criminal,42
61,Ratched,60
70,Enola Holmes,123
71,New Girl,30
72,Dynasty,60
78,The Spy,50
84,Biohackers,44
90,Henning Mankell's Wallander,90
91,Young Wallander,90
97,The Kitchen,100
98,Bad Blood,47
112,Selling Sunset,30
113,El Camino,120
114,Rick and Morty,22
115,Breaking Bad,45
132,Dark,60
179,Warrior Nun,40
180,Borgen,60
204,The Umbrella Academy,60
224,Snowpiercer,60
225,Cursed,60
236,Norsemen,30
385,Gotham,42
411,Community,22
414,Klovn Forever,90
415,The Midnight Gospel,23
503,DC's Legends of Tomorrow,42
513,Rising High,90
514,The Circle,110
522,Dangerous Lies,96
525,Extraction,116
536,Outer Banks,50
538,The Big Short,130
539,Suits,44
547,Tiger King,47
551,Too Hot to Handle,40
629,Freud,55
648,Spenser Confidential,111
680,Love Is Blind,53
684,WHAT / IF,55
694,Altered Carbon,60
712,Queen of the South,42
751,Sex Education,45
767,Anon,100
768,How I Met Your Mother,22
770,Peaky Blinders,60
771,A Fortunate Man,33
772,"Love, Death & Robots",15
776,Colony,42
783,White Collar,40
847,Dirty Money,60
850,FYRE,97
851,Minimalism,78
872,Bodyguard,60
873,Marvel's The Punisher,53
874,You,45
884,Pine Gap,57
887,Vexed,60
889,Tidelands,36
897,House of Cards,55
973,Elite,51
974,1983,60
975,Salvation,43
982,The Bridge,60
1024,Feminists,86
1025,Scorpion,43
1080,Nappily Ever After,98
1138,Secret City,49
1140,The Innocents,55
1141,The Investigator,47
1142,Ultraviolet,60
1143,Deadwind,45
1144,Bones,40
1159,Wanted,60
1162,The Sinner,45
1170,Focus,105
1171,A Very Secret Service,32
1172,Kiss Me First,46
1173,Final Space,21
1175,Insatiable,45
1187,Good Girls,43
1204,Archer,22
1210,Explained,18
1295,Set It Up,105
1300,Annihilation,115
1393,The Rain,45
1407,Outlander,64
1413,Wonder Woman,141
1414,Dude,97
1415,Travelers,45
1416,The Alienist,42
1418,Designated Survivor,43
1436,Seven Seconds,60
1438,Troy,58
1465,Edha,40
1466,Tabula Rasa,52
1471,Collateral,60
1473,Marvel's Jessica Jones,56
1477,Lucifer,50
1531,The Hunger Games,130
1540,Elementary,43
1689,Greenleaf,42
1692,Money Heist,60
1697,You Get Me,86
1718,A Christmas Prince,92
1719,She's Gotta Have It,30
1720,MINDHUNTER,60
1768,Stranger Things,60
1792,Closer,104
1793,Easy,30
1797,Riverdale,45
1817,Rita,41
1865,Narcos,50
1895,Annika Bengtzon,60
1896,The Team,60
1904,Limitless,42
1917,"Crouching Tiger, Hidden Dragon",120
1927,White Gold,30
1929,Marvel's The Defenders,50
1937,Master of None,30
1957,Ozark,60
1965,Sherlock,86
1967,Gypsy,52
1975,The Killing,45
1996,Those Who Kill,50
1997,Fauda,37
1998,Bordertown,60
1999,Case,45
2000,Paranoid,45
2008,Shadowhunters,42
2010,Guilt,42
2020,Ingobernable,40
2021,The Client List,42
2024,Marvel's Luke Cage,55
2045,Frontier,60
2049,Johan Falk,60
2050,From Dusk Till Dawn,108
2068,Mr. Selfridge,45
2071,Prison Break,44
2072,The Unit,60
2116,The Expanse,43
2142,Helix,40
2143,Reign,42
2161,The Sniffer,45
2162,Hjørdis,26
2216,13 Reasons Why,54
2222,Roman Empire,48
2231,The Last Kingdom,54
2239,The Code,54
2240,The Social Network,120
2241,Marvel's Iron Fist,55
2254,The Musketeers,55
2274,"Badlands, Texas",44
2275,Black Sails,56
2287,Zeitgeist,118
2305,Brooklyn Nine-Nine,23
2308,24,44
2318,American Odyssey,45
2340,Sin City,124
2341,Varg Veum,90
2342,Person of Interest,43
2344,Shooter,42
2350,Black Mirror,60
2352,Crazy Ex-Girlfriend,42
2354,Lilyhammer,45
2357,Jack Taylor,90
2360,Gilmore Girls,44
2382,First Contact,60
2445,Under the Sun,60
2449,Marseille,41
2450,The Crown,60
2487,Frequency,118
2513,The Giver,137
2514,A Hijacking,103
2517,Tyrant,50
2530,You're the Worst,30
2542,The Fall,60
2553,The Affair,60
2555,Better Call Saul,60
2575,Touch,43
2586,Marvel's Agent Carter,42
2613,Grand Hotel,43
2618,"Tinker, Tailor, Soldier, Spy",122
2662,Marcella,45
2682,Gossip Girl,42
2712,The Talented Mr. Ripley,139
2713,Headhunters,96
2812,Flaked,30
2813,Aquarius,42
2814,Sense8,55
2826,Ali Wong,60
2827,Lady Dynamite,30
2829,Bloodline,60
2853,Falling Skies,42
2856,Crossing Lines,43
2883,The Other Boleyn Girl,115
2885,Unbreakable Kimmy Schmidt,30
2890,Love,30
2904,Veronica Mars,60
2905,The IT Crowd,25
2974,Misfits,60
2977,This Means War,103
2978,Miss Fisher's Murder Mysteries,55
2986,Rectify,60
2992,Broadchurch,48
2993,Chelsea Does,70
2994,Alphas,44
3019,The Americans,60
3020,Breakout Kings,43
3030,Fantastic Four,100
3044,Lie to Me,43
3092,Hanna,50
3100,Fargo,53
3101,The Adventures of Tintin,30
